classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
143555192,jmohrmann,1836019,5662ce2f81f5604cf80e,8716,classify_128km,8.17,2019-01-31 19:08:17 UTC,,,"{""source"":""api"",""session"":""bfb5b27013d9a51e3df803af74b21195ad9665682277716f11f7e1e3418ed025"",""viewport"":{""width"":1536,""height"":766},""started_at"":""2019-01-31T19:07:24.864Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2019-01-31T19:08:11.218Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":827,""clientHeight"":530,""naturalWidth"":827,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Closed-cellular MCC structure""}]","{""29951431"":{""retired"":null,""i"":""0"",""j"":""512"",""lat"":""19.45946"",""lon"":""-124.2513"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512..context.png""}}",29951431
143555232,jmohrmann,1836019,5662ce2f81f5604cf80e,8716,classify_128km,8.17,2019-01-31 19:08:28 UTC,,,"{""source"":""api"",""session"":""bfb5b27013d9a51e3df803af74b21195ad9665682277716f11f7e1e3418ed025"",""viewport"":{""width"":1536,""height"":766},""started_at"":""2019-01-31T19:08:14.233Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2019-01-31T19:08:22.869Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":830,""clientHeight"":530,""naturalWidth"":830,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Open-cellular MCC structure""}]","{""29951433"":{""retired"":null,""i"":""0"",""j"":""640"",""lat"":""19.288755"",""lon"":""-125.46325"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640..context.png""}}",29951433
143557523,jmohrmann,1836019,5662ce2f81f5604cf80e,8716,classify_128km,8.17,2019-01-31 19:18:59 UTC,,,"{""source"":""api"",""session"":""bfb5b27013d9a51e3df803af74b21195ad9665682277716f11f7e1e3418ed025"",""viewport"":{""width"":1536,""height"":766},""started_at"":""2019-01-31T19:08:25.998Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2019-01-31T19:18:52.868Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":830,""clientHeight"":530,""naturalWidth"":830,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951436"":{""retired"":null,""i"":""0"",""j"":""896"",""lat"":""18.895798"",""lon"":""-128.04544"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896..context.png""}}",29951436
143557545,jmohrmann,1836019,5662ce2f81f5604cf80e,8716,classify_128km,8.17,2019-01-31 19:19:02 UTC,,,"{""source"":""api"",""session"":""bfb5b27013d9a51e3df803af74b21195ad9665682277716f11f7e1e3418ed025"",""viewport"":{""width"":1536,""height"":766},""started_at"":""2019-01-31T19:18:54.410Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2019-01-31T19:18:56.679Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951435"":{""retired"":null,""i"":""0"",""j"":""768"",""lat"":""19.106642"",""lon"":""-126.6929"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j768."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j768..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j768..context.png""}}",29951435
143557566,jmohrmann,1836019,5662ce2f81f5604cf80e,8716,classify_128km,8.17,2019-01-31 19:19:07 UTC,,,"{""source"":""api"",""session"":""bfb5b27013d9a51e3df803af74b21195ad9665682277716f11f7e1e3418ed025"",""viewport"":{""width"":1536,""height"":766},""started_at"":""2019-01-31T19:18:57.977Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2019-01-31T19:19:01.265Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951439"":{""retired"":null,""i"":""0"",""j"":""1024"",""lat"":""18.626795"",""lon"":""-129.67673"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..context.png""}}",29951439
143557667,kgmeyer,1837139,e6a7745c9ecdc84b7a0b,8716,classify_128km,8.17,2019-01-31 19:19:33 UTC,,,"{""source"":""api"",""session"":""465f32013a17566b6f61fc516cc91b90723c5bedb39e2f6a9650ef6370a9261b"",""viewport"":{""width"":1775,""height"":1103},""started_at"":""2019-01-31T19:16:29.854Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:60.0) Gecko/20100101 Firefox/60.0"",""utc_offset"":""18000"",""finished_at"":""2019-01-31T19:19:33.804Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":830,""clientHeight"":530,""naturalWidth"":830,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951436"":{""retired"":null,""i"":""0"",""j"":""896"",""lat"":""18.895798"",""lon"":""-128.04544"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j896..context.png""}}",29951436
143557767,kgmeyer,1837139,e6a7745c9ecdc84b7a0b,8716,classify_128km,8.17,2019-01-31 19:19:59 UTC,,,"{""source"":""api"",""session"":""465f32013a17566b6f61fc516cc91b90723c5bedb39e2f6a9650ef6370a9261b"",""viewport"":{""width"":1775,""height"":1103},""started_at"":""2019-01-31T19:19:35.703Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:60.0) Gecko/20100101 Firefox/60.0"",""utc_offset"":""18000"",""finished_at"":""2019-01-31T19:19:59.630Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951439"":{""retired"":null,""i"":""0"",""j"":""1024"",""lat"":""18.626795"",""lon"":""-129.67673"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..context.png""}}",29951439
143558490,cloud_class,1744913,b526c06e45ca16d02fbb,8716,classify_128km,8.17,2019-01-31 19:23:12 UTC,,,"{""source"":""api"",""session"":""f01b5c4281f097e162d07679992b4a4b6cf55366186b090e2fe1987ad8ca01c5"",""viewport"":{""width"":1597,""height"":922},""started_at"":""2019-01-31T19:09:30.843Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-01-31T19:23:12.045Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":827,""clientHeight"":530,""naturalWidth"":827,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951431"":{""retired"":null,""i"":""0"",""j"":""512"",""lat"":""19.45946"",""lon"":""-124.2513"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j512..context.png""}}",29951431
143558562,cloud_class,1744913,b526c06e45ca16d02fbb,8716,classify_128km,8.17,2019-01-31 19:23:34 UTC,,,"{""source"":""api"",""session"":""f01b5c4281f097e162d07679992b4a4b6cf55366186b090e2fe1987ad8ca01c5"",""viewport"":{""width"":1597,""height"":922},""started_at"":""2019-01-31T19:23:14.635Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-01-31T19:23:34.360Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":818,""clientHeight"":530,""naturalWidth"":818,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951439"":{""retired"":null,""i"":""0"",""j"":""1024"",""lat"":""18.626795"",""lon"":""-129.67673"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j1024..context.png""}}",29951439
143558697,cloud_class,1744913,b526c06e45ca16d02fbb,8716,classify_128km,8.17,2019-01-31 19:24:12 UTC,,,"{""source"":""api"",""session"":""f01b5c4281f097e162d07679992b4a4b6cf55366186b090e2fe1987ad8ca01c5"",""viewport"":{""width"":1597,""height"":922},""started_at"":""2019-01-31T19:23:35.971Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-01-31T19:24:12.156Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":500,""clientHeight"":500,""naturalWidth"":500,""naturalHeight"":500},{""clientWidth"":830,""clientHeight"":530,""naturalWidth"":830,""naturalHeight"":530}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""9784""}","[{""task"":""T0"",""task_label"":""What cloud type is dominant in this image?"",""value"":""Can't tell""}]","{""29951433"":{""retired"":null,""i"":""0"",""j"":""640"",""lat"":""19.288755"",""lon"":""-125.46325"",""date"":""7/16/2015 21:45"",""name"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640."",""refl_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640..scene.png"",""context_img"":""MYD02HKM.A2015197.2145.061.2018051030716.i0_j640..context.png""}}",29951433
